control,seed,regime,subtask,subject_class,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
random_direction,17,low,causative,overlay_arg_1_match,560,-2.597991073983056,-2.598995536991528,2.597991073983056,-0.0010044630084718976,-0.0063057954822267805,0.0042410682354654585,-0.0001816896818773148,0.17857142857142858
random_direction,17,low,inchoative,overlay_arg_1_match,560,-1.5205915091293198,-1.5141741103359632,1.5205915091293198,0.006417398793356759,0.00290177868945258,0.010156240207808358,0.0030087086014502873,0.38035714285714284
red_blue,17,head,causative,overlay_arg_1_match,196,0.609594211286428,0.6026586586115311,0.609594211286428,-0.006935552674896863,-0.012256804777651417,-0.0017139473739935427,nan,0.6887755102040817
red_blue,17,head,inchoative,overlay_arg_1_match,116,0.6830549568965517,0.6905980644554928,0.6830549568965517,0.007543107558941019,0.00215517652445826,0.013200463919804013,nan,0.7155172413793104
red_blue,17,low,causative,overlay_arg_1_match,560,0.9161516436508723,0.9152029871940612,0.9161516436508723,-0.0009486564568110875,-0.002887833118438721,0.00106027466910226,nan,0.8267857142857142
red_blue,17,low,inchoative,overlay_arg_1_match,560,0.7373465384755816,0.7485212062086378,0.7373465384755816,0.011174667733056205,0.008830915178571428,0.013427731820515224,nan,0.8321428571428572
shuffled_label,17,head,causative,overlay_arg_1_match,196,0.1690050996079737,0.1304209299233495,0.06823978375415413,-0.03858417272567749,-0.47002550777123897,0.3872768124755548,0.4662666619788956,0.5204081632653061
shuffled_label,17,head,inchoative,overlay_arg_1_match,116,0.265086200730554,0.2963362130625495,-0.16864222288131714,0.03125000616599773,-0.44046336823496324,0.553071102191662,0.6116379469325671,0.5172413793103449
shuffled_label,17,low,causative,overlay_arg_1_match,560,0.3449776764426913,0.3185267925262451,0.22935267729418618,-0.02645088689667838,-0.2929687527673585,0.2457031426685197,0.5601296272915531,0.5303571428571429
shuffled_label,17,low,inchoative,overlay_arg_1_match,560,0.03789062350988388,0.04592634056295667,0.08922991135290691,0.008035715350082942,-0.19531249063355582,0.2002232130084719,0.6223117169122462,0.5178571428571429
